,No correction,,ECP2,,ECP6,,SAFER_32,,PAYG,,FREE-p,,Aegis 9x61,,Zombie_XOR,,RIDER,,RIDER + FREE-p,,RIDER + ECP4,,RIDER-XOR,,RIDER-XOR + ECP4,,RIDER + Aegis 17x31
2.20E+06,113.1,3.91E+06,108.85,1.95E+05,101.07,2.05E+05,102.17,1.56E+07,106.1,1.56E+07,100.53,2.75E+05,98.855,29608,99.383,1.56E+07,109.28,1.56E+07,100.53,3.91E+06,101.62,1.74E+05,108.03,1.43E+05,100.45,32277,101.55
4.41E+06,112.6,7.81E+06,108.85,3.91E+05,101.07,4.10E+05,102.17,3.13E+07,106.1,3.13E+07,100.53,6.73E+05,98.855,4.08E+05,99.383,3.13E+07,107.75,3.13E+07,100.53,7.81E+06,101.62,5.79E+05,108.02,5.48E+05,100.45,4.13E+05,101.55
6.61E+06,112.1,1.17E+07,108.85,5.86E+05,101.07,6.15E+05,102.17,4.69E+07,106.1,4.69E+07,100.53,1.06E+06,98.855,7.93E+05,99.383,4.69E+07,107.3,4.69E+07,100.53,1.17E+07,101.62,9.58E+05,108.02,9.27E+05,100.45,7.97E+05,101.55
8.81E+06,111.6,1.56E+07,108.85,7.81E+05,101.07,8.20E+05,102.17,6.25E+07,106.1,6.25E+07,100.53,1.45E+06,98.855,1.18E+06,99.383,6.25E+07,107.11,6.25E+07,100.53,1.56E+07,101.62,1.35E+06,108.01,1.32E+06,100.45,1.19E+06,101.55
1.10E+07,111.1,1.95E+07,108.85,9.77E+05,101.07,1.03E+06,102.17,7.81E+07,106.1,7.81E+07,100.53,1.83E+06,98.855,1.57E+06,99.383,7.81E+07,107.03,7.81E+07,100.53,1.95E+07,101.62,1.73E+06,108.01,1.70E+06,100.45,1.57E+06,101.55
1.32E+07,110.6,2.34E+07,108.85,1.17E+06,101.07,1.23E+06,102.17,9.38E+07,106.1,9.38E+07,100.53,2.22E+06,98.855,1.95E+06,99.383,9.38E+07,107.03,9.38E+07,100.53,2.34E+07,101.62,2.12E+06,108,2.09E+06,100.45,1.96E+06,101.55
1.54E+07,110.1,2.73E+07,108.85,1.37E+06,101.07,1.44E+06,102.17,1.09E+08,106.1,1.09E+08,100.53,2.60E+06,98.855,2.34E+06,99.383,1.09E+08,106.93,1.09E+08,100.53,2.73E+07,101.62,2.51E+06,107.99,2.48E+06,100.45,2.34E+06,101.55
1.76E+07,109.6,3.13E+07,108.85,1.56E+06,101.07,1.64E+06,102.17,1.25E+08,106.1,1.25E+08,100.53,2.99E+06,98.855,2.73E+06,99.383,1.25E+08,106.87,1.25E+08,100.53,3.13E+07,101.62,2.89E+06,107.99,2.86E+06,100.45,2.73E+06,101.55
1.98E+07,109.1,3.52E+07,108.85,1.76E+06,101.07,1.85E+06,102.17,1.41E+08,106.1,1.41E+08,100.53,3.38E+06,98.855,3.11E+06,99.383,1.41E+08,106.79,1.41E+08,100.53,3.52E+07,101.62,3.28E+06,107.99,3.25E+06,100.45,3.12E+06,101.55
2.20E+07,108.6,3.91E+07,108.85,1.95E+06,101.07,2.05E+06,102.17,1.56E+08,106.1,1.56E+08,100.53,3.76E+06,98.855,3.50E+06,99.383,1.56E+08,106.69,1.56E+08,100.53,3.91E+07,101.62,3.66E+06,107.98,3.63E+06,100.45,3.50E+06,101.55
2.42E+07,108.1,4.30E+07,108.85,2.15E+06,101.07,2.26E+06,102.17,1.72E+08,106.1,1.72E+08,100.53,4.15E+06,98.855,3.88E+06,99.383,1.72E+08,106.55,1.72E+08,100.53,4.30E+07,101.62,4.05E+06,107.97,4.02E+06,100.45,3.89E+06,101.55
2.64E+07,107.6,4.69E+07,108.85,2.34E+06,101.07,2.46E+06,102.17,1.88E+08,106.1,1.88E+08,100.53,4.53E+06,98.855,4.27E+06,99.383,1.88E+08,106.5,1.88E+08,100.53,4.69E+07,101.62,4.44E+06,107.96,4.41E+06,100.45,4.27E+06,101.55
2.86E+07,107.1,5.08E+07,108.85,2.54E+06,101.07,2.67E+06,102.17,2.03E+08,106.1,2.03E+08,100.53,4.92E+06,98.855,4.66E+06,99.383,2.03E+08,106.47,2.03E+08,100.53,5.08E+07,101.62,4.82E+06,107.96,4.79E+06,100.45,4.66E+06,101.55
3.08E+07,106.6,5.47E+07,108.85,2.73E+06,101.07,2.87E+06,102.17,2.19E+08,106.1,2.19E+08,100.53,5.31E+06,98.855,5.04E+06,99.383,2.19E+08,106.47,2.19E+08,100.53,5.47E+07,101.62,5.21E+06,107.96,5.18E+06,100.45,5.05E+06,101.55
3.30E+07,106.1,5.86E+07,108.85,2.93E+06,101.07,3.08E+06,102.17,2.34E+08,106.1,2.34E+08,100.53,5.69E+06,98.855,5.43E+06,99.383,2.34E+08,106.47,2.34E+08,100.53,5.86E+07,101.62,5.60E+06,107.95,5.56E+06,100.45,5.43E+06,101.55
3.52E+07,105.6,6.25E+07,108.85,3.13E+06,101.07,3.28E+06,102.17,2.50E+08,106.1,2.50E+08,100.53,6.08E+06,98.855,5.82E+06,99.383,2.50E+08,106.39,2.50E+08,100.53,6.25E+07,101.62,5.98E+06,107.94,5.95E+06,100.45,5.82E+06,101.55
3.74E+07,105.1,6.64E+07,108.85,3.32E+06,101.07,3.49E+06,102.17,2.66E+08,106.1,2.66E+08,100.53,6.46E+06,98.855,6.20E+06,99.383,2.66E+08,106.34,2.66E+08,100.53,6.64E+07,101.62,6.37E+06,107.93,6.34E+06,100.45,6.21E+06,101.55
3.96E+07,104.6,7.03E+07,108.85,3.52E+06,101.07,3.69E+06,102.17,2.81E+08,106.1,2.81E+08,100.53,6.85E+06,98.855,6.59E+06,99.383,2.81E+08,106.31,2.81E+08,100.53,7.03E+07,101.62,6.75E+06,107.92,6.72E+06,100.45,6.59E+06,101.55
4.19E+07,104.1,7.42E+07,108.85,3.71E+06,101.07,3.90E+06,102.17,2.97E+08,106.1,2.97E+08,100.53,7.24E+06,98.855,6.97E+06,99.383,2.97E+08,106.26,2.97E+08,100.53,7.42E+07,101.62,7.14E+06,107.92,7.11E+06,100.45,6.98E+06,101.55
4.41E+07,103.6,7.81E+07,108.85,3.91E+06,101.07,4.10E+06,102.17,3.13E+08,106.1,3.13E+08,100.53,7.62E+06,98.855,7.36E+06,99.383,3.13E+08,106.15,3.13E+08,100.53,7.81E+07,101.62,7.53E+06,107.91,7.50E+06,100.45,7.36E+06,101.55
4.63E+07,103.1,8.20E+07,108.85,4.10E+06,101.07,4.31E+06,102.17,3.28E+08,106.1,3.28E+08,100.53,8.01E+06,98.855,7.75E+06,99.383,3.28E+08,106.13,3.28E+08,100.53,8.20E+07,101.62,7.91E+06,107.9,7.88E+06,100.45,7.75E+06,101.55
4.85E+07,102.6,8.59E+07,108.85,4.30E+06,101.07,4.51E+06,102.17,3.44E+08,106.1,3.44E+08,100.53,8.40E+06,98.855,8.13E+06,99.383,3.44E+08,105.99,3.44E+08,100.53,8.59E+07,101.62,8.30E+06,107.89,8.27E+06,100.45,8.14E+06,101.55
5.07E+07,102.1,8.98E+07,108.85,4.49E+06,101.07,4.72E+06,102.17,3.59E+08,106.1,3.59E+08,100.53,8.78E+06,98.855,8.52E+06,99.383,3.59E+08,105.89,3.59E+08,100.53,8.98E+07,101.62,8.68E+06,107.88,8.65E+06,100.45,8.52E+06,101.55
5.29E+07,101.6,9.38E+07,108.85,4.69E+06,101.07,4.92E+06,102.17,3.75E+08,106.1,3.75E+08,100.53,9.17E+06,98.855,8.90E+06,99.383,3.75E+08,105.81,3.75E+08,100.53,9.38E+07,101.62,9.07E+06,107.87,9.04E+06,100.45,8.91E+06,101.55
5.51E+07,101.1,9.77E+07,108.85,4.88E+06,101.07,5.13E+06,102.17,3.91E+08,106.1,3.91E+08,100.53,9.55E+06,98.855,9.29E+06,99.383,3.91E+08,105.75,3.91E+08,100.53,9.77E+07,101.62,9.46E+06,107.87,9.43E+06,100.45,9.29E+06,101.55
5.73E+07,100.6,1.02E+08,108.85,5.08E+06,101.07,5.33E+06,102.17,4.06E+08,106.1,4.06E+08,100.53,9.94E+06,98.855,9.68E+06,99.383,4.06E+08,105.73,4.06E+08,100.53,1.02E+08,101.62,9.84E+06,107.87,9.81E+06,100.45,9.68E+06,101.55
5.95E+07,100.1,1.05E+08,108.85,5.27E+06,101.07,5.54E+06,102.17,4.22E+08,106.1,4.22E+08,100.53,1.03E+07,98.855,1.01E+07,99.383,4.22E+08,105.73,4.22E+08,100.53,1.05E+08,101.62,1.02E+07,107.87,1.02E+07,100.45,1.01E+07,101.55
6.17E+07,99.6,1.09E+08,108.85,5.47E+06,101.07,5.74E+06,102.17,4.38E+08,106.1,4.38E+08,100.53,1.07E+07,98.855,1.04E+07,99.383,4.38E+08,105.67,4.38E+08,100.53,1.09E+08,101.62,1.06E+07,107.86,1.06E+07,100.45,1.05E+07,101.55
6.39E+07,99.1,1.13E+08,108.85,5.66E+06,101.07,5.95E+06,102.17,4.53E+08,106.1,4.53E+08,100.53,1.11E+07,98.855,1.08E+07,99.383,4.53E+08,105.57,4.53E+08,100.53,1.13E+08,101.62,1.10E+07,107.86,1.10E+07,100.45,1.08E+07,101.55
6.61E+07,98.6,1.17E+08,108.85,5.86E+06,101.07,6.15E+06,102.17,4.69E+08,106.1,4.69E+08,100.53,1.15E+07,98.855,1.12E+07,99.383,4.69E+08,105.49,4.69E+08,100.53,1.17E+08,101.62,1.14E+07,107.85,1.14E+07,100.45,1.12E+07,101.55
6.83E+07,98.1,1.21E+08,108.85,6.05E+06,101.07,6.36E+06,102.17,4.84E+08,106.1,4.84E+08,100.53,1.19E+07,98.855,1.16E+07,99.383,4.84E+08,105.49,4.84E+08,100.53,1.21E+08,101.62,1.18E+07,107.84,1.17E+07,100.45,1.16E+07,101.55
7.05E+07,97.6,1.25E+08,108.85,6.25E+06,101.07,6.56E+06,102.17,5.00E+08,106.1,5.00E+08,100.53,1.23E+07,98.855,1.20E+07,99.383,5.00E+08,105.41,5.00E+08,100.53,1.25E+08,101.62,1.22E+07,107.84,1.21E+07,100.45,1.20E+07,101.55
7.27E+07,97.1,1.29E+08,108.85,6.45E+06,101.07,6.77E+06,102.17,5.16E+08,106.1,5.16E+08,100.53,1.26E+07,98.855,1.24E+07,99.383,5.16E+08,105.35,5.16E+08,100.53,1.29E+08,101.62,1.25E+07,107.84,1.25E+07,100.45,1.24E+07,101.55
7.49E+07,96.6,1.33E+08,108.85,6.64E+06,101.07,6.97E+06,102.17,5.31E+08,106.1,5.31E+08,100.53,1.30E+07,98.855,1.28E+07,99.383,5.31E+08,105.25,5.31E+08,100.53,1.33E+08,101.62,1.29E+07,107.83,1.29E+07,100.45,1.28E+07,101.55
7.71E+07,96.1,1.37E+08,108.85,6.84E+06,101.07,7.18E+06,102.17,5.47E+08,106.1,5.47E+08,100.53,1.34E+07,98.855,1.32E+07,99.383,5.47E+08,105.09,5.47E+08,100.53,1.37E+08,101.62,1.33E+07,107.83,1.33E+07,100.45,1.32E+07,101.55
7.93E+07,95.6,1.41E+08,108.85,7.03E+06,101.07,7.38E+06,102.17,5.63E+08,106.1,5.63E+08,100.53,1.38E+07,98.855,1.35E+07,99.383,5.63E+08,105.01,5.63E+08,100.53,1.41E+08,101.62,1.37E+07,107.82,1.37E+07,100.45,1.35E+07,101.55
8.15E+07,95.1,1.45E+08,108.85,7.23E+06,101.07,7.59E+06,102.17,5.78E+08,106.1,5.78E+08,100.53,1.42E+07,98.855,1.39E+07,99.383,5.78E+08,104.93,5.78E+08,100.53,1.45E+08,101.62,1.41E+07,107.82,1.41E+07,100.45,1.39E+07,101.55
8.37E+07,94.6,1.48E+08,108.85,7.42E+06,101.07,7.79E+06,102.17,5.94E+08,106.1,5.94E+08,100.53,1.46E+07,98.855,1.43E+07,99.383,5.94E+08,104.9,5.94E+08,100.53,1.48E+08,101.62,1.45E+07,107.82,1.44E+07,100.45,1.43E+07,101.55
8.59E+07,94.1,1.52E+08,108.85,7.62E+06,101.07,8.00E+06,102.17,6.09E+08,106.1,6.09E+08,100.53,1.50E+07,98.855,1.47E+07,99.383,6.09E+08,104.77,6.09E+08,100.53,1.52E+08,101.62,1.49E+07,107.81,1.48E+07,100.45,1.47E+07,101.55
8.81E+07,93.6,1.56E+08,108.85,7.81E+06,101.07,8.20E+06,102.17,6.25E+08,106.1,6.25E+08,100.53,1.53E+07,98.855,1.51E+07,99.383,6.25E+08,104.61,6.25E+08,100.53,1.56E+08,101.62,1.52E+07,107.81,1.52E+07,100.45,1.51E+07,101.55
9.03E+07,93.1,1.60E+08,108.85,8.01E+06,101.07,8.41E+06,102.17,6.41E+08,106.1,6.41E+08,100.53,1.57E+07,98.855,1.55E+07,99.383,6.41E+08,104.39,6.41E+08,100.53,1.60E+08,101.62,1.56E+07,107.81,1.56E+07,100.45,1.55E+07,101.55
9.25E+07,92.6,1.64E+08,108.85,8.20E+06,101.07,8.61E+06,102.17,6.56E+08,106.1,6.56E+08,100.53,1.61E+07,98.855,1.59E+07,99.383,6.56E+08,104.26,6.56E+08,100.53,1.64E+08,101.62,1.60E+07,107.81,1.60E+07,100.45,1.59E+07,101.55
9.47E+07,92.1,1.68E+08,108.85,8.40E+06,101.07,8.82E+06,102.17,6.72E+08,106.1,6.72E+08,100.53,1.65E+07,98.855,1.62E+07,99.383,6.72E+08,104.15,6.72E+08,100.53,1.68E+08,101.62,1.64E+07,107.8,1.64E+07,100.45,1.62E+07,101.55
9.69E+07,91.6,1.72E+08,108.85,8.59E+06,101.07,9.02E+06,102.17,6.88E+08,106.1,6.88E+08,100.53,1.69E+07,98.855,1.66E+07,99.383,6.88E+08,104.05,6.88E+08,100.53,1.72E+08,101.62,1.68E+07,107.8,1.68E+07,100.45,1.66E+07,101.55
9.91E+07,91.1,1.76E+08,108.85,8.79E+06,101.07,9.23E+06,102.17,7.03E+08,106.1,7.03E+08,100.53,1.73E+07,98.855,1.70E+07,99.383,7.03E+08,103.94,7.03E+08,100.53,1.76E+08,101.62,1.72E+07,107.79,1.71E+07,100.45,1.70E+07,101.55
1.01E+08,90.6,1.80E+08,108.85,8.98E+06,101.07,9.43E+06,102.17,7.19E+08,106.1,7.19E+08,100.53,1.77E+07,98.855,1.74E+07,99.383,7.19E+08,103.86,7.19E+08,100.53,1.80E+08,101.62,1.76E+07,107.79,1.75E+07,100.45,1.74E+07,101.55
1.04E+08,90.1,1.84E+08,108.85,9.18E+06,101.07,9.64E+06,102.17,7.34E+08,106.1,7.34E+08,100.53,1.80E+07,98.855,1.78E+07,99.383,7.34E+08,103.75,7.34E+08,100.53,1.84E+08,101.62,1.80E+07,107.79,1.79E+07,100.45,1.78E+07,101.55
